title,NER,link
"""Baby Food Spice Pound Cake""","""flour,nuts,sugar,salt,salad oil,eggs,baby fruit""","""www.cookbooks.com/Recipe-Details.aspx?id=481638"""
"""No-Bake Nut Cookies""","""brown sugar,milk,vanilla,nuts,butter,bite size shredded rice biscuits""","""www.cookbooks.com/Recipe-Details.aspx?id=44874"""
"""Jewell Ball'S Chicken""","""beef,chicken breasts,cream of mushroom soup,sour cream""","""www.cookbooks.com/Recipe-Details.aspx?id=699419"""
"""Creamy Corn""","""frozen corn,cream cheese,butter,garlic powder,salt,pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=10570"""
"""Chicken Funny""","""chicken,chicken gravy,cream of mushroom soup,shredded cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=897570"""
"""Reeses Cups(Candy)""","""peanut butter,graham cracker crumbs,butter,powdered sugar,chocolate chips""","""www.cookbooks.com/Recipe-Details.aspx?id=659239"""
"""Cheeseburger Potato Soup""","""baking potatoes,extra lean ground beef,butter,milk,salt,pepper,Cheddar cheese,bacon,green onion,sour cream""","""www.cookbooks.com/Recipe-Details.aspx?id=20115"""
"""Rhubarb Coffee Cake""","""sugar,butter,egg,buttermilk,flour,salt,soda,buttermilk,rhubarb,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=210288"""
"""Scalloped Corn""","""cream-style corn,whole kernel corn,crackers,egg,butter,pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=876969"""
"""Nolan'S Pepper Steak""","""tomatoes,water,onions,Worcestershire sauce,green peppers,oil""","""www.cookbooks.com/Recipe-Details.aspx?id=375254"""
"""Millionaire Pie""","""pineapple,condensed milk,lemons,pecans,graham cracker crusts""","""www.cookbooks.com/Recipe-Details.aspx?id=794547"""
"""Double Cherry Delight""","""dark sweet pitted cherries,ginger ale,flavor gelatin,boiling water,almond extract,marshmallows""","""www.cookbooks.com/Recipe-Details.aspx?id=703381"""
"""Buckeye Candy""","""powdered sugar,butter,peanut butter,paraffin,chocolate chips""","""www.cookbooks.com/Recipe-Details.aspx?id=886785"""
"""Quick Barbecue Wings""","""chicken,flour,barbecue sauce""","""www.cookbooks.com/Recipe-Details.aspx?id=768311"""
"""Taco Salad Chip Dip""","""taco sauce,sour cream,cream cheese,ground beef,taco seasoning,shredded lettuce,tomato,onion,green pepper,Cheddar cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=806409"""
"""Pink Stuff(Frozen Dessert)""","""pie filling,pineapple,condensed milk,lemon juice""","""www.cookbooks.com/Recipe-Details.aspx?id=982483"""
"""Fresh Strawberry Pie""","""shell,cleaned strawberries,water,cornstarch,sugar,salt,strawberry jello""","""www.cookbooks.com/Recipe-Details.aspx?id=161321"""
"""Easy German Chocolate Cake""","""chocolate fudge cake,white cake,Wesson oil""","""www.cookbooks.com/Recipe-Details.aspx?id=983179"""
"""Broccoli Salad""","""broccoli,bacon,green onions,raisins,mayonnaise,vinegar,sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=50992"""
"""Strawberry Whatever""","""frozen strawberries,pineapple,bananas,pecans,strawberry,boiling water,sour cream""","""www.cookbooks.com/Recipe-Details.aspx?id=718063"""
"""Eggless Milkless Applesauce Cake""","""sugar,shortening,applesauce,soda,cinnamon,flour,raisins,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=343158"""
"""Grandma Hanrath'S Banana Breadfort Collins, Colorado""","""sugar,shortening,eggs,salt,soda,flour,nuts,bananas""","""www.cookbooks.com/Recipe-Details.aspx?id=1072247"""
"""Chocolate Frango Mints""","""cake mix,chocolate fudge pudding,sour cream,water,Wesson oil,eggs,Frango""","""www.cookbooks.com/Recipe-Details.aspx?id=958474"""
"""Cuddy Farms Marinated Turkey""","""vegetable oil,soy sauce,garlic""","""www.cookbooks.com/Recipe-Details.aspx?id=9449"""
"""Spaghetti Sauce To Can""","""tomatoes,oil,garlic,tomato paste,peppers,sugar,salt,sweet basil,oregano,Italian seasoning""","""www.cookbooks.com/Recipe-Details.aspx?id=1059279"""
"""Prize-Winning Meat Loaf""","""ground beef,tomato juice,oats,egg,onion,pepper,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=923674"""
"""Smothered Round Steak(Servings: 4)""","""steak,ground black pepper,ground white pepper,vegetable oil,bell peppers,beef stock,salt,ground red pepper,flour,onions,celery""","""www.cookbooks.com/Recipe-Details.aspx?id=982859"""
"""Corral Barbecued Beef Steak Strips""","""long,cooking oil,tomato sauce,water,brown sugar,mustard,Worcestershire sauce,onion""","""www.cookbooks.com/Recipe-Details.aspx?id=420402"""
"""Easy Fudge""","""condensed milk,semi-sweet chocolate chips,unsweetened chocolate,nuts,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=812407"""
"""Taco-Filled Green Pepper""","""Ground Beef,taco seasoning,beans,onion,salsa,green peppers,Tomato,cheddar cheese,sour cream""","""www.cookbooks.com/Recipe-Details.aspx?id=39004"""
"""One Hour Rolls""","""milk,sugar,yeast,salt,Crisco oil,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=294341"""
"""Punch Bowl Fruit Salad""","""peaches,fruit cocktail,pineapple,fresh strawberries,red apples,yellow apples,bananas,white grapes,purple grapes""","""www.cookbooks.com/Recipe-Details.aspx?id=1059877"""
"""Summer Chicken""","""chicken cutlets,oil,red vinegar,oregano,garlic salt""","""www.cookbooks.com/Recipe-Details.aspx?id=969444"""
"""Cherry Pizza""","""cherry pie mix,deluxe white cake mix,butter,ground nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=1072589"""
"""Potato And Cheese Pie""","""eggs,salt,pepper,potatoes,Cheddar cheese,green onions""","""www.cookbooks.com/Recipe-Details.aspx?id=784386"""
"""Tuna Macaroni Casserole""","""macaroni,tuna,pimentos,onion""","""www.cookbooks.com/Recipe-Details.aspx?id=906870"""
"""Artichoke Dip""","""hearts,mayonnaise,Parmesan cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=263108"""
"""Broccoli Dip For Crackers""","""sour cream,vegetable soup mix,broccoli,Cheddar cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=297084"""
"""Summer Spaghetti""","""Salad Supreme,Italian dressing""","""www.cookbooks.com/Recipe-Details.aspx?id=841144"""
"""Pear-Lime Salad""","""pear halves,lime gelatin,cream cheese,lemon yogurt""","""www.cookbooks.com/Recipe-Details.aspx?id=174717"""
"""Watermelon Rind Pickles""","""watermelon rind,sugar,apple vinegar,oil,oil of cinnamon""","""www.cookbooks.com/Recipe-Details.aspx?id=744685"""
"""Chicken Stew""","""chicken,potatoes,onions,corn,English peas,peas,butter beans,tomatoes,tomato juice,macaroni,black pepper,salt,sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=284237"""
"""Quick Coffee Cake(6 Servings)""","""butter,sugar,egg,flour,baking powder,salt,milk,vanilla,brown sugar,cinnamon,butter""","""www.cookbooks.com/Recipe-Details.aspx?id=532166"""
"""Angel Biscuits""","""flour,sugar,baking powder,yeast,buttermilk,soda,margarine,warm water""","""www.cookbooks.com/Recipe-Details.aspx?id=378696"""
"""Quick Peppermint Puffs""","""marshmallows,margarine,peppermint candy,crescent rolls""","""www.cookbooks.com/Recipe-Details.aspx?id=493487"""
"""Fruit Pizza""","""yellow cake mix,water,brown sugar,butter,eggs,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=28243"""
"""Chocolate Mint Bars""","""flour,sugar,oleo,eggs,chocolate syrup""","""www.cookbooks.com/Recipe-Details.aspx?id=590883"""
"""Beer Bread""","""flour,beer,sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=26648"""
"""Chicken Divan""","""margarine,onion,celery,flour,curry powder,mushrooms,cream of celery soup,broccoli,chicken,cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=425137"""
"""Mexican Cookie Rings""","""flour,baking powder,salt,butter,sugar,egg yolks,vanilla,multi-colored candies""","""www.cookbooks.com/Recipe-Details.aspx?id=364136"""
"""Vegetable-Burger Soup""","""ground beef,water,sugar,onion soup,tomatoes,tomato sauce,frozen mixed vegetables""","""www.cookbooks.com/Recipe-Details.aspx?id=822015"""
"""Chicken Ole""","""chicken breasts,cream of chicken soup,cream of mushroom soup,green chili salsa sauce,green chilies,milk,onion,corn tortilla""","""www.cookbooks.com/Recipe-Details.aspx?id=445786"""
"""Creamy Coleslaw(Better Homes And Gardens)""","""cabbage,carrots,green pepper,onion,mayonnaise,vinegar,sugar,celery,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=613188"""
"""Creole Flounder""","""flounder,tomatoes,green pepper,lemon juice,salad oil,salt,onion,basil,ground black pepper,drops red pepper sauce,green pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=580768"""
"""Three Bean Salad""","""green beans,yellow beans,kidney beans,sugar,salad oil,vinegar,water""","""www.cookbooks.com/Recipe-Details.aspx?id=272785"""
"""Dave'S Corn Casserole""","""whole kernel corn,cream-style,sour cream,corn bread,margarine""","""www.cookbooks.com/Recipe-Details.aspx?id=864413"""
"""Casserole Italiano""","""ground beef,onion,tomato soup,noodles,oregano,salt,water,cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=233784"""
"""Corned Beef And Cabbage Casserole""","""cabbage,dry mustard,corned beef,cream of celery soup,onion""","""www.cookbooks.com/Recipe-Details.aspx?id=263782"""
"""Crab Cakes""","""Worcestershire sauce,dry mustard,mayonnaise,egg""","""www.cookbooks.com/Recipe-Details.aspx?id=69515"""
"""Taco Dip""","""cream cheese,mayonnaise,taco sauce,green onions,green pepper,tomato,Mozzarella cheese,Cheddar cheese,black olives,tortilla chips""","""www.cookbooks.com/Recipe-Details.aspx?id=139440"""
"""Bonbon Cookies""","""butter,peanut butter,graham cracker crumbs,coconut,nut meats,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=709387"""
"""Forever Amber""","""orange sliced candy,Angel,pecans,condensed milk,vanilla,orange flavoring""","""www.cookbooks.com/Recipe-Details.aspx?id=626626"""
"""Gooey Coffee Cake""","""yellow cake,eggs,oleo,nuts,eggs,cream cheese,powdered sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=339843"""
"""Phylis' Pineapple-Banana Salad""","""pineapple,bananas""","""www.cookbooks.com/Recipe-Details.aspx?id=682439"""
"""Chicken Casserole""","""cream of mushroom soup,cream of chicken soup,cream of celery soup,chicken,butter,rice""","""www.cookbooks.com/Recipe-Details.aspx?id=665397"""
"""Pineapple Nut Pie""","""cream cheese,condensed milk,pineapple,nuts,lemon juice""","""www.cookbooks.com/Recipe-Details.aspx?id=512031"""
"""Annie'S Diabetic Candy""","""vanilla,cream cheese,butter,peanut butter""","""www.cookbooks.com/Recipe-Details.aspx?id=942266"""
"""Frozen Peach Mousse""","""peaches,sugar,sour cream,lemon juice,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=305481"""
"""Strawberry Pie""","""frozen strawberries,sugar,cream cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=575611"""
"""Blueberry Surprise""","""margarine,graham cracker crumbs,granulated sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=14352"""
"""Moist Devil'S Food Cake""","""flour,baking soda,salt,shortening,sugar,eggs,cocoa,water,vanilla,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=467702"""
"""Dot'S Civil War Cake""","""apples,raisins,brown sugar,sugar,shortening,cold water,flour,soda,cinnamon,nutmeg,cloves,salt,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=433749"""
"""Potato Casserole""","""potatoes,onion,butter,cream of chicken soup,sour cream,Cheddar cheese,cornflakes""","""www.cookbooks.com/Recipe-Details.aspx?id=261749"""
"""Dream Pie""","""vanilla wafers,butter""","""www.cookbooks.com/Recipe-Details.aspx?id=621453"""
"""Divinity Fudge""","""sugar,white corn syrup,cold water,egg whites,vanilla,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=875051"""
"""Apple Crisp""","""apples,sugar,cinnamon,sugar,flour,salt,corn flake crumbs,oleo""","""www.cookbooks.com/Recipe-Details.aspx?id=935714"""
"""Sausage Balls""","""Bisquick,sausage,Cheddar cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=586592"""
"""Consomme Chicken""","""chicken,cream of chicken soup,consomme,rice,salt,pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=1078857"""
"""Spanish Hamburgers""","""celery,onions,butter,ground beef,vinegar,lemon juice,brown sugar,mustard,salt,pepper,catsup,water""","""www.cookbooks.com/Recipe-Details.aspx?id=467221"""
"""Egg Drop Soup""","""chicken broth,cornstarch,egg,green onion""","""www.cookbooks.com/Recipe-Details.aspx?id=801543"""
"""Mulled Cider""","""apple juice,allspice,whole cloves,cinnamon,brown sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=945627"""
"""Sesame Ginger Chicken""","""sesame seed,grated ginger,honey,soy sauce,chicken,vegetable cooking spray,thin green onion strips""","""www.cookbooks.com/Recipe-Details.aspx?id=352931"""
"""Egg Casserole""","""Vidalia onion,fresh mushrooms,green peppers,clove garlic,olive oil,bread,eggs,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=656149"""
"""Cranberry-Apple-Orange Salad""","""cranberries,sugar,apple,orange,orange gelatin,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=302909"""
"""Brown Rice""","""rice,beef consomme,onion soup,mushrooms,margarine""","""www.cookbooks.com/Recipe-Details.aspx?id=330188"""
"""Cranberry Salad""","""cream cheese,margarine,sugar,cranberry sauce,pineapple,walnuts,whipping cream""","""www.cookbooks.com/Recipe-Details.aspx?id=427420"""
"""Cheese Dip""","""Velveeta cheese,Italian tomatoes,green chili peppers,onion,garlic,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=756385"""
"""Funnel Cake""","""flour,salt,soda,sugar,baking powder,egg,milk,oil,powdered sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=1071347"""
